course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1000,7,6,0.0,-1,-1,-1,-1,-1,-1,119,6,0,2,2,54.0,465,-7,10,1,11,991,0,0,0,0,0,0,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,859,68,82,7,9,358,29,34,8,9,970,83,103,8,10,280,24,24,8,8
1000,7,6,0.0,-1,-1,-1,-1,-1,146,28,10,0,0,2,52.0,509,-1,10,1,11,1002,0,0,0,0,0,0,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,1906,133,140,6,7,526,37,39,7,7,2218,230,201,10,9,165,15,18,9,10
1000,7,6,0.0,-1,-1,-1,-1,-1,39,110,5,0,1,2,54.0,466,-2,10,1,11,948,0,0,0,0,0,0,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,441,64,41,14,9,334,50,33,14,9,8878,768,823,8,9,290,22,31,7,10
1000,7,6,0.0,-1,-1,-1,-1,-1,-1,101,3,0,0,2,52.0,429,-2,10,1,11,986,0,0,0,0,0,0,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,910,49,49,5,5,18,0,1,0,5,5260,389,430,7,8,181,10,11,5,6
1000,7,6,0.0,275,29,-1,-1,-1,117,14,7,0,2,2,54.0,468,8,8,2,11,942,2,0,0,0,0,2,0,0,0,0,2,0.0,0.0,633,645.0,658.0,3021,267,268,8,8,342,31,24,9,7,2240,211,206,9,9,160,11,15,6,9
1000,7,6,0.0,-1,-1,-1,-1,-1,60,61,3,0,0,2,52.0,507,-13,8,2,11,971,0,0,0,0,0,0,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,675,101,90,14,13,441,68,71,15,16,2118,191,206,9,9,455,42,44,9,9
1000,7,6,0.0,-1,-1,-1,-1,-1,99,46,5,0,0,2,52.0,479,-2,8,2,11,965,0,0,0,0,0,0,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,248,20,15,8,6,248,20,15,8,6,3228,298,337,9,10,319,35,25,10,7
1000,7,6,0.0,114,35,-1,-1,-1,86,34,2,1,2,2,54.0,440,4,8,2,11,1013,2,0,0,0,0,2,0,0,0,0,1,0.0,0.0,645,645.0,645.0,2846,217,219,7,7,437,36,39,8,8,1269,192,110,15,8,295,33,24,11,8
1000,7,6,0.0,-1,-1,-1,-1,-1,-1,112,4,0,1,2,54.0,500,5,8,2,11,943,0,0,0,0,0,0,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,910,49,49,5,5,18,0,1,0,5,6150,737,694,11,11,347,29,35,8,10
1000,7,6,0.0,-1,-1,-1,-1,-1,-1,133,1,0,1,2,54.0,469,-3,8,2,11,953,0,0,0,0,0,0,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,52,3,0,5,0,52,3,0,5,0,2849,228,246,8,8,253,16,33,6,13
1000,7,6,0.0,-1,-1,-1,-1,-1,17,127,8,0,0,2,52.0,478,-5,8,2,11,970,0,0,0,0,0,0,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,2718,203,216,7,7,449,37,41,8,9,1718,145,140,8,8,203,22,12,10,5
1000,7,6,0.0,428,28,-1,-1,-1,98,25,6,0,1,2,54.0,488,12,8,2,11,903,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,648,648.0,648.0,1085,60,60,5,5,138,7,10,5,7,663,43,56,6,8,156,10,21,6,13
1300,7,6,4.0,-86,35,-1,-1,-1,-1,115,8,0,0,4,55.0,473,-3,10,3,11,1670,7,0,1,0,14,7,0,1,0,14,4,0.0,25.0,851,861.0,881.0,3067,207,240,6,7,93,1,3,1,3,2175,197,187,9,8,218,14,12,6,5
1300,7,6,-1.0,194,36,-1,-1,-1,-1,129,2,0,0,3,55.0,433,7,10,3,11,1319,9,0,1,0,11,8,0,1,0,12,2,0.0,0.0,849,850.0,852.0,1179,69,75,5,6,89,4,2,4,2,4258,276,363,6,8,176,8,18,4,10
1300,7,6,-1.0,-179,28,-1,-1,-1,33,96,4,0,0,3,55.0,432,-5,10,3,11,1325,10,0,0,0,0,7,0,0,0,0,2,0.0,0.0,822,836.0,851.0,441,64,41,14,9,334,50,33,14,9,8878,768,823,8,9,290,22,31,7,10
1300,7,6,0.0,-104,29,-1,-1,-1,180,-1,6,0,0,3,52.0,452,-3,10,3,11,1293,6,0,0,0,0,6,0,0,0,0,1,0.0,0.0,853,853.0,853.0,313,17,21,5,6,278,15,21,5,7,1170,119,108,10,9,210,18,30,8,14
